account_id,account_name,coupon,date,week,month,action,mrr,plan,recurrence,segment
156,cro247,,6/27/17,6/25/17,6/1/17,new,99,professional,monthly,sales assisted
585,runree,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
560,jenger,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
668,arbe03,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
796,chgsky,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,sales assisted
278,stetwo,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,agency
603,bodvon,,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
663,parrip,t50,6/27/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
679,braset,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
764,cykcyk,,6/27/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
250,wlak00,,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
799,ctatam,,6/27/17,6/25/17,6/1/17,new,99,professional,monthly,self-signup
778,hacaus,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,sales assisted
138,ant0te,,6/27/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
233,chovwp,,6/27/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
412,tomare,off,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
955,hawwba,off,6/27/17,6/25/17,6/1/17,new,24.17,premium,monthly,self-signup
987,cloday,,6/27/17,6/25/17,6/1/17,new,99,personal,monthly,sales assisted
171,rxsmap,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
384,contuk,,6/27/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
503,nukola,ual,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
907,stemni,e33,6/27/17,6/25/17,6/1/17,new,99,personal,monthly,sales assisted
151,bbhbh2,us1,6/27/17,6/25/17,6/1/17,new,207.5,premium,monthly,self-signup
671,dcmdia,wpe,6/27/17,6/25/17,6/1/17,new,600,personal,monthly,self-signup
593,ztoymd,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
838,thrlth,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
960,marvis,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
531,abuign,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,affiliate
560,djozou,,6/27/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
976,joiass,e33,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
206,helusa,ual,6/27/17,6/25/17,6/1/17,new,82.5,professional,monthly,self-signup
153,ssb017,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
456,yeehan,off,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,agency
865,nseoff,ual,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,sales assisted
172,aecard,ual,6/27/17,6/25/17,6/1/17,new,53.25,personal,monthly,affiliate
835,aanndd,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
982,beerrr,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
497,wccwcc,,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,agency
436,roific,,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,affiliate
710,winnst,t50,6/27/17,6/25/17,6/1/17,new,99,personal,monthly,affiliate
855,whaary,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,sales assisted
801,telacy,b50,6/27/17,6/25/17,6/1/17,new,48.95,personal,monthly,self-signup
306,emiind,,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
996,dplpla,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
667,somcas,ual,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
741,buseio,e33,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,affiliate
305,insade,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
212,affifi,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,agency
774,disvvy,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
771,incabs,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
910,cootar,off,6/27/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
530,new100,,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
526,grofdn,e33,6/27/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
503,ctpuse,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
563,canift,s50,6/27/17,6/25/17,6/1/17,new,6500,business,annual,agency
509,arcata,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
594,lfamin,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
580,nzanza,off,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
372,opeenh,,6/27/17,6/25/17,6/1/17,new,99,personal,monthly,sales assisted
162,safeng,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
267,svplee,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
588,agrgrh,off,6/27/17,6/25/17,6/1/17,new,48.95,personal,monthly,agency
812,buz017,,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,sales assisted
753,kreiet,,6/27/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
718,jomlia,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
941,kbrnts,,6/27/17,6/25/17,6/1/17,new,24.17,business,monthly,self-signup
640,sdiety,off,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
621,nicncy,,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
341,opttes,off,6/27/17,6/25/17,6/1/17,new,24.17,professional,monthly,sales assisted
381,psiple,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
865,josels,ual,6/27/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
587,liedui,,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
666,twoher,b50,6/27/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
228,wfmows,off,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
767,bwhhbj,,6/27/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
559,uniion,p30,6/28/17,6/25/17,6/1/17,new,24.17,personal,annual,sales assisted
697,wooard,b50,6/28/17,6/25/17,6/1/17,new,99,professional,monthly,self-signup
678,buslau,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,agency
395,galape,off,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
335,traboo,,6/28/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
291,brahod,ual,6/28/17,6/25/17,6/1/17,new,24.17,premium,monthly,affiliate
800,wes592,ual,6/28/17,6/25/17,6/1/17,new,82.5,business,monthly,self-signup
968,theoup,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
103,myanet,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
421,thiace,,6/28/17,6/25/17,6/1/17,new,48.95,personal,monthly,self-signup
172,focmsg,,6/28/17,6/25/17,6/1/17,new,48.95,personal,monthly,self-signup
366,rrnted,,6/28/17,6/25/17,6/1/17,new,29,professional,annual,self-signup
646,amynt1,,6/28/17,6/25/17,6/1/17,new,29,personal,annual,affiliate
202,eve802,off,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
192,truabs,,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
453,promir,e50,6/28/17,6/25/17,6/1/17,new,249,personal,monthly,self-signup
262,bibelp,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
592,imp444,,6/28/17,6/25/17,6/1/17,new,29,business,monthly,self-signup
902,jomomc,,6/28/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
240,evoonv,off,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
320,mezezi,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,affiliate
318,rowrt1,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
602,smfity,600,6/28/17,6/25/17,6/1/17,new,552,personal,monthly,affiliate
508,josial,,6/28/17,6/25/17,6/1/17,new,29,personal,annual,self-signup
179,allant,,6/28/17,6/25/17,6/1/17,new,63.9,personal,monthly,self-signup
183,hanaud,e33,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
695,criing,,6/28/17,6/25/17,6/1/17,new,40.79,personal,annual,self-signup
733,wpkbe1,off,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
957,bbyang,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,sales assisted
101,exenan,ual,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
146,mico17,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
483,sahaha,,6/28/17,6/25/17,6/1/17,new,36.62,personal,monthly,sales assisted
940,dmalon,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
394,hervfz,e25,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,agency
629,ssfone,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,agency
394,comgwd,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
484,detesa,,6/28/17,6/25/17,6/1/17,new,48.95,professional,annual,self-signup
386,dogdia,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,affiliate
806,fandia,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
553,robaro,17,6/28/17,6/25/17,6/1/17,new,82.5,personal,monthly,agency
737,miappi,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
627,groers,,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,sales assisted
826,adpky1,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
917,amyead,off,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
973,ridres,17,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
509,obrlth,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
498,bpiors,,6/28/17,6/25/17,6/1/17,new,29,personal,annual,self-signup
716,woo911,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,affiliate
886,cenlab,,6/28/17,6/25/17,6/1/17,new,48.95,professional,monthly,self-signup
577,inntio,,6/28/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
149,dbegen,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
924,shaone,,6/28/17,6/25/17,6/1/17,new,207.5,personal,monthly,self-signup
528,aledfx,17,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
447,caturm,17,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
788,majiks,,6/28/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
915,novaus,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
204,nooave,off,6/28/17,6/25/17,6/1/17,new,249,personal,monthly,self-signup
758,tapltd,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
935,parweb,,6/28/17,6/25/17,6/1/17,new,99,premium,monthly,self-signup
287,novaus,17,6/28/17,6/25/17,6/1/17,new,82.5,personal,monthly,agency
334,jeency,ual,6/28/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
345,enonor,,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
576,rivlka,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
786,kotess,t50,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
121,dgtgts,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
267,loncen,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,affiliate
577,hugood,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,affiliate
524,rweman,p30,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
166,mas613,,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,sales assisted
482,jakn09,off,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,affiliate
693,shelby,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,agency
884,grawla,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,affiliate
283,jbuich,off,6/28/17,6/25/17,6/1/17,new,29,professional,monthly,sales assisted
161,whe792,off,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
696,nyssba,,6/28/17,6/25/17,6/1/17,new,24.17,professional,monthly,sales assisted
732,firchi,,6/28/17,6/25/17,6/1/17,new,40.79,personal,monthly,self-signup
686,lanted,ual,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
260,natemm,,6/28/17,6/25/17,6/1/17,new,24.17,professional,monthly,affiliate
904,mmae17,,6/28/17,6/25/17,6/1/17,new,43.95,personal,monthly,agency
195,hearch,17,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
239,eniaio,17,6/28/17,6/25/17,6/1/17,new,82.5,personal,monthly,affiliate
769,rseant,,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,agency
733,tonhen,e33,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
232,loapro,,6/28/17,6/25/17,6/1/17,new,24.17,premium,monthly,self-signup
697,staesc,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,affiliate
954,antall,,6/28/17,6/25/17,6/1/17,new,36.62,comped,monthly,self-signup
570,imp444,,6/28/17,6/25/17,6/1/17,new,99,professional,monthly,affiliate
540,ivakbc,,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
733,emmide,d33,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
207,oaknds,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
449,samaye,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,affiliate
682,tbales,ual,6/28/17,6/25/17,6/1/17,new,82.5,personal,monthly,sales assisted
271,patndh,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
451,elee11,off,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,affiliate
376,apobes,,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
853,torfit,,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
369,theoft,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,sales assisted
378,wom615,ual,6/28/17,6/25/17,6/1/17,new,82.5,personal,monthly,self-signup
360,vauore,p30,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
105,surllc,t50,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
384,omerew,,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,affiliate
885,nav993,17,6/28/17,6/25/17,6/1/17,new,29,professional,monthly,agency
429,padwer,,6/28/17,6/25/17,6/1/17,new,1104,personal,monthly,sales assisted
306,clwlls,17,6/28/17,6/25/17,6/1/17,new,40.79,premium,monthly,self-signup
575,audort,17,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,sales assisted
256,diyllc,,6/28/17,6/25/17,6/1/17,new,29,professional,annual,self-signup
941,fut101,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
512,shoock,off,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
279,poweny,,6/28/17,6/25/17,6/1/17,new,82.5,personal,monthly,self-signup
947,theoft,ual,6/28/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
130,matden,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
738,krelty,p30,6/28/17,6/25/17,6/1/17,new,82.5,personal,monthly,self-signup
889,f50wpe,log,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,agency
651,jinmin,,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
695,davvan,off,6/28/17,6/25/17,6/1/17,new,43.95,professional,monthly,self-signup
755,perrin,17,6/28/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
570,poleld,,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
200,dav017,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
444,radwin,,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
828,insweb,off,6/28/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
954,busoys,,6/28/17,6/25/17,6/1/17,new,99,professional,monthly,self-signup
175,higoup,off,6/28/17,6/25/17,6/1/17,new,29,personal,monthly,agency
208,kreiet,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,agency
187,newust,t50,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,affiliate
395,nceion,off,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
239,mtcltd,off,6/29/17,6/25/17,6/1/17,new,249,personal,monthly,self-signup
302,jbuich,,6/29/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
849,orotos,,6/29/17,6/25/17,6/1/17,new,48.95,personal,monthly,self-signup
942,antnel,e33,6/29/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
753,ooligo,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,sales assisted
630,lifcus,,6/29/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
205,frehop,,6/29/17,6/25/17,6/1/17,new,600,personal,monthly,self-signup
303,vegary,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
969,tmsmin,off,6/29/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
304,siging,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
715,tsrain,,6/29/17,6/25/17,6/1/17,new,99,personal,monthly,affiliate
594,helusa,,6/29/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
117,catlog,p30,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
941,layeat,17,6/29/17,6/25/17,6/1/17,new,48.95,personal,monthly,self-signup
686,imono2,,6/29/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
402,zacley,,6/29/17,6/25/17,6/1/17,new,24.17,professional,monthly,agency
864,chatwo,,6/29/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
970,est002,,6/29/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
230,craqts,ual,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
796,aarott,ual,6/29/17,6/25/17,6/1/17,new,82.5,personal,monthly,self-signup
445,smsmsn,ual,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,agency
328,calowl,log,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,affiliate
429,mauioc,off,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
569,insweb,17,6/29/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
596,rtg003,,6/29/17,6/25/17,6/1/17,new,99,professional,monthly,agency
405,jiooji,,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
617,cloons,us1,6/29/17,6/25/17,6/1/17,new,207.5,professional,monthly,affiliate
154,vididy,,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
699,hotami,off,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,sales assisted
938,dhoann,,6/29/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
468,vibbat,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,affiliate
106,cinayo,off,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,agency
660,duraco,,6/29/17,6/25/17,6/1/17,new,99,personal,monthly,affiliate
628,briggo,,6/29/17,6/25/17,6/1/17,new,29,comped,monthly,agency
138,sob247,,6/29/17,6/25/17,6/1/17,new,99,professional,monthly,self-signup
967,oraroc,,6/29/17,6/25/17,6/1/17,new,29,premium,monthly,self-signup
610,aarott,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
552,thanel,ual,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,sales assisted
360,artemy,,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
571,headia,17,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
259,ecmons,17,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
858,toptic,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
103,bydlms,,6/29/17,6/25/17,6/1/17,new,36.62,professional,monthly,self-signup
952,julppe,ual,6/29/17,6/25/17,6/1/17,new,24.17,professional,monthly,self-signup
326,zesles,,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
866,rtg003,,6/29/17,6/25/17,6/1/17,new,1200,personal,monthly,affiliate
789,synnus,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
551,kcutis,,6/29/17,6/25/17,6/1/17,new,29,professional,monthly,sales assisted
482,cloday,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
455,jonoob,,6/29/17,6/25/17,6/1/17,new,249,business,monthly,self-signup
959,teaasa,17,6/29/17,6/25/17,6/1/17,new,24.17,premium,monthly,self-signup
675,devtus,,6/29/17,6/25/17,6/1/17,new,40.79,professional,monthly,affiliate
814,newnos,,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
934,webong,,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
666,chreck,,6/29/17,6/25/17,6/1/17,new,600,personal,monthly,self-signup
199,accame,off,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,sales assisted
984,zitult,,6/29/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
223,clay83,,6/29/17,6/25/17,6/1/17,new,99,professional,monthly,self-signup
603,hitemy,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
884,ykyyle,,6/29/17,6/25/17,6/1/17,new,207.5,professional,monthly,agency
466,clilaw,e33,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
244,impove,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
184,udevor,,6/29/17,6/25/17,6/1/17,new,82.5,personal,monthly,agency
218,tomeas,e17,6/29/17,6/25/17,6/1/17,new,600,personal,monthly,agency
980,amsare,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
927,cesdev,e33,6/29/17,6/25/17,6/1/17,new,99,personal,monthly,self-signup
685,canail,,6/29/17,6/25/17,6/1/17,new,24.17,professional,monthly,affiliate
387,shular,,6/29/17,6/25/17,6/1/17,new,82.5,personal,monthly,self-signup
487,doding,,6/29/17,6/25/17,6/1/17,new,99,professional,monthly,sales assisted
617,hanaud,17,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
710,belpus,,6/29/17,6/25/17,6/1/17,new,82.5,personal,monthly,affiliate
854,proest,log,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
412,olites,,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,affiliate
789,aopopi,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
734,fosend,log,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,affiliate
912,anters,,6/29/17,6/25/17,6/1/17,new,400,personal,annual,self-signup
233,founge,,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,affiliate
737,jm2tal,,6/29/17,6/25/17,6/1/17,new,82.5,personal,monthly,self-signup
409,supemo,,6/29/17,6/25/17,6/1/17,new,99,personal,monthly,affiliate
603,lating,,6/29/17,6/25/17,6/1/17,new,43.95,personal,monthly,self-signup
302,oandms,17,6/29/17,6/25/17,6/1/17,new,24.17,premium,monthly,self-signup
850,scierd,17,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
376,ysceam,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
602,exenan,,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,affiliate
821,fpalot,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
968,corinv,,6/29/17,6/25/17,6/1/17,new,29,personal,monthly,self-signup
330,teaies,,6/29/17,6/25/17,6/1/17,new,99,professional,monthly,self-signup
654,jakiss,17,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,agency
582,belkee,,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
826,marrsh,,6/29/17,6/25/17,6/1/17,new,29,professional,monthly,self-signup
522,boylop,,6/29/17,6/25/17,6/1/17,new,24.17,personal,monthly,self-signup
